,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,mass_equivalent,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk
0,978,newsmax,spammer,bot,5/26/2021,https://twitter.com/newsmax/status/1397597747906293766,34672,-1.68E-05,3.68E-03,5.25E-03,2.00E+00,5.25E-03,5.06E-03,5.43E-02,3.39E-12,6.51E-13,1.69E-16,1.19E-16,7.14E-02,5.43E-02
1,434,JonPort79449036,false (human account),human,10/9/2021,https://twitter.com/JonPort79449036/status/1446680933797670917,15721,-1.68E-05,6.92E-02,3.07E-02,2.00E+00,3.07E-02,3.93E-02,4.66E-02,1.54E-12,2.95E-13,7.66E-17,5.39E-17,7.82E-02,4.66E-02
2,308,nickisnest,false (human account),human,8/13/2021,https://twitter.com/nickisnest/status/1426063842770051073,2881,-4.86E-03,4.28E-02,3.23E-02,2.00E+00,3.23E-02,4.14E-02,4.92E-02,2.81E-13,5.41E-14,1.40E-17,9.89E-18,7.81E-02,4.92E-02
3,591,CobyJay41,false (human account),human,8/11/2021,https://twitter.com/CobyJay41/status/1425564049320861696,2473,0,3.31E-02,2.89E-02,2.00E+00,2.89E-02,3.95E-02,3.42E-02,2.42E-13,4.64E-14,1.21E-17,8.49E-18,7.60E-02,3.42E-02
4,155,bev768,false (human account),human,10/7/2021,https://twitter.com/bev768/status/1446201715112361998,2285,0,7.01E-01,6.79E-02,2.00E+00,6.79E-02,1.01E-01,5.64E-02,2.23E-13,4.29E-14,1.11E-17,7.84E-18,1.11E-01,5.64E-02
5,6,danny086756661,spammer,bot,8/11/2021,https://twitter.com/danny086756661/status/1425554263107727360,2281,-4.86E-03,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,2.23E-13,4.28E-14,1.11E-17,7.83E-18,7.28E-04,1.20E-03
6,1155,robert_traurig,spammer,bot,5/26/2021,https://twitter.com/robert_traurig/status/1397666281780883457,1516,-2.22E-05,3.79E-04,2.09E-04,2.00E+00,2.09E-04,2.73E-04,1.84E-03,1.48E-13,2.85E-14,7.39E-18,5.20E-18,3.70E-02,1.84E-03
7,791,Simone_Voice,spammer,bot,7/19/2021,https://twitter.com/Simone_Voice/status/1417052837515874304,715,-1.88E-05,2.61E-96,3.19E-06,2.00E+00,3.19E-06,3.64E-06,2.29E-03,6.98E-14,1.34E-14,3.48E-18,2.45E-18,2.18E-03,2.29E-03
8,1347,VanderluciaSch1,other,bot,8/30/2021,https://twitter.com/VanderluciaSch1/status/1432413228248748040,710,-4.21E-05,1.61E-65,5.84E-05,2.00E+00,5.84E-05,5.62E-05,6.68E-03,6.94E-14,1.33E-14,3.46E-18,2.44E-18,8.01E-03,6.68E-03
9,100,Daniel2510G,spammer,bot,9/8/2021,https://twitter.com/Daniel2510G/status/1435654826260635659,630,-3.45E-06,4.04E-39,5.80E-04,2.00E+00,5.80E-04,5.97E-04,1.63E-02,6.15E-14,1.18E-14,3.07E-18,2.16E-18,1.96E-02,1.63E-02
10,928,ella03787321,false (human account),human,7/18/2021,https://twitter.com/ella03787321/status/1416762143106555918,609,0,5.18E-90,6.37E-06,2.00E+00,6.37E-06,6.87E-06,2.84E-03,5.95E-14,1.14E-14,2.97E-18,2.09E-18,2.91E-03,2.84E-03
11,759,SpiritYah,false (human account),human,7/20/2021,https://twitter.com/SpiritYah/status/1417635090436349953,508,0,2.61E-96,3.19E-06,2.00E+00,3.19E-06,3.64E-06,2.29E-03,4.96E-14,9.54E-15,2.48E-18,1.74E-18,2.18E-03,2.29E-03
12,906,Learningpods1,false (human account),human,5/26/2021,https://twitter.com/Learningpods1/status/1397405645264011266,446,0,4.60E-90,7.43E-06,2.00E+00,7.43E-06,9.69E-06,2.06E-03,4.36E-14,8.37E-15,2.17E-18,1.53E-18,2.60E-03,2.06E-03
13,1330,BrandonLesco1,false (human account),human,11/9/2021,https://twitter.com/BrandonLesco1/status/1458058598458789895,439,0,1.30E-80,1.59E-05,2.00E+00,1.59E-05,1.62E-05,3.94E-03,4.29E-14,8.24E-15,2.14E-18,1.51E-18,4.37E-03,3.94E-03
14,701,kawarren818,false (human account),human,8/9/2021,https://twitter.com/kawarren818/status/1424776418894958593,427,0,1.20E-70,3.82E-05,2.00E+00,3.82E-05,3.73E-05,5.58E-03,4.17E-14,8.02E-15,2.08E-18,1.47E-18,6.55E-03,5.58E-03
15,766,haber_okuyorum1,false (human account),human,7/20/2021,https://twitter.com/haber_okuyorum1/status/1417614464107651081,416,0,1.34E-73,2.97E-05,2.00E+00,2.97E-05,2.93E-05,5.04E-03,4.06E-14,7.81E-15,2.03E-18,1.43E-18,5.83E-03,5.04E-03
16,1166,santa_tzu,spammer,bot,5/26/2021,https://twitter.com/santa_tzu/status/1397559140839563270,388,1.45E-02,3.71E-04,0.00E+00,2.00E+00,0.00E+00,0.00E+00,6.51E-04,3.79E-14,7.28E-15,1.89E-18,1.33E-18,3.62E-02,6.51E-04
17,1160,Yaocyou,spammer,bot,5/26/2021,https://twitter.com/Yaocyou/status/1397539621450354689,386,-4.86E-03,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,3.77E-14,7.25E-15,1.88E-18,1.32E-18,7.28E-04,1.20E-03
18,1159,JaneDoe89034155,spammer,bot,5/26/2021,https://twitter.com/JaneDoe89034155/status/1397647782450761732,384,-4.86E-03,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,3.75E-14,7.21E-15,1.87E-18,1.32E-18,0.00E+00,1.79E-04
19,129,CobyJayJr42,false (human account),human,10/5/2021,https://twitter.com/CobyJayJr42/status/1445535381831577609,383,-3.45E-06,3.37E-04,4.86E-03,2.00E+00,4.86E-03,7.22E-03,3.96E-03,3.74E-14,7.19E-15,1.87E-18,1.31E-18,5.07E-02,3.96E-03
20,1154,mimosa_9th_,spammer,bot,5/26/2021,https://twitter.com/mimosa_9th_/status/1397592274276552707,374,-4.86E-03,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,3.65E-14,7.02E-15,1.82E-18,1.28E-18,7.28E-04,1.20E-03
21,778,DutchDL,false (human account),human,7/21/2021,https://twitter.com/DutchDL/status/1417771031964626944,370,0,1.23E-104,1.06E-06,2.00E+00,1.06E-06,1.34E-06,1.74E-03,3.61E-14,6.95E-15,1.80E-18,1.27E-18,1.46E-03,1.74E-03
22,869,107devorah,false (human account),human,7/17/2021,https://twitter.com/107devorah/status/1416518060345892871,345,0,7.20E-03,2.87E-03,2.00E+00,2.87E-03,3.70E-03,4.70E-03,3.37E-14,6.48E-15,1.68E-18,1.18E-18,6.36E-02,4.70E-03
23,804,fuzzyface,false (human account),human,7/19/2021,https://twitter.com/fuzzyface/status/1417051749077053441,330,0,1.34E-73,2.97E-05,2.00E+00,2.97E-05,2.93E-05,5.04E-03,3.22E-14,6.20E-15,1.61E-18,1.13E-18,5.83E-03,5.04E-03
24,943,LoveTahoe1,false (human account),human,7/27/2021,https://twitter.com/LoveTahoe1/status/1419831129612251138,309,0,2.79E-65,6.90E-05,2.00E+00,6.90E-05,7.07E-05,6.59E-03,3.02E-14,5.80E-15,1.51E-18,1.06E-18,8.07E-03,6.59E-03
25,753,deltazebedee1,false (human account),human,7/21/2021,https://twitter.com/deltazebedee1/status/1417673313493659651,306,0,1.96E-70,1.49E-05,2.00E+00,1.49E-05,1.75E-05,2.78E-03,2.99E-14,5.75E-15,1.49E-18,1.05E-18,4.46E-03,2.78E-03
26,970,DDonP3,private_account,bot,7/24/2021,https://twitter.com/DDonP3/status/1419030011734937600,304,-4.86E-03,2.67E-80,7.43E-06,2.00E+00,7.43E-06,1.02E-05,1.38E-03,2.97E-14,5.71E-15,1.48E-18,1.04E-18,2.45E-03,1.38E-03
27,940,takapirulainen,spammer,bot,7/18/2021,https://twitter.com/takapirulainen/status/1416800776492625924,297,0,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,2.90E-14,5.58E-15,1.45E-18,1.02E-18,0.00E+00,1.79E-04
28,742,sfbtears,spammer,bot,10/16/2021,https://twitter.com/sfbtears/status/1449453138558308354,265,-1.88E-05,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,2.59E-14,4.98E-15,1.29E-18,9.09E-19,7.28E-04,1.20E-03
29,974,NoSurrender200,other,bot,7/24/2021,https://twitter.com/NoSurrender200/status/1418988876908089353,249,-1.88E-05,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,2.43E-14,4.68E-15,1.21E-18,8.54E-19,0.00E+00,1.79E-04
30,967,texaspatriette,false (human account),human,7/24/2021,https://twitter.com/texaspatriette/status/1418976540927401987,210,0,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,2.05E-14,3.94E-15,1.02E-18,7.21E-19,7.28E-04,1.20E-03
31,819,ninskiberry,false (human account),human,7/19/2021,https://twitter.com/ninskiberry/status/1417226279192043523,196,0,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,1.91E-14,3.68E-15,9.55E-19,6.73E-19,7.28E-04,1.20E-03
