,username,bot_type,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,page_rank,random_walk
0,ABC,spammer,-0.004862989,3.12E-41,0,0.006789935,2,0.000699107,0.000699107
1,Left_of_You,spammer,-0.004862989,1.68E-40,0.000133775,0.009252219,2,0.003053336,0.003053336
2,politico,other,-0.004862989,3.12E-41,0,0.006789935,2,0.000699107,0.000699107
3,US_FDA,other,-0.004862989,3.12E-41,0,0.006789935,2,0.000699107,0.000699107
4,CNN,spammer,-0.004862989,7.82E-40,0.000153948,0.012756847,2,0.001178934,0.001178934
5,CDCDirector,other,-0.004862989,3.12E-41,0,0.006789935,2,0.000699107,0.000699107
6,danny086756661,spammer,-0.004862989,2.63E-117,0,0.000728332,2,0.001195029,0.001195029
7,evolv67,other,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
8,Carol64653456,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
9,imhopolitical,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
10,NorrinR06303580,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
11,pushing_0,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
12,viewsfordays,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
13,ElectPhoney,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
14,whydidicomeback,spammer,-2.22E-05,1.15E-163,0,0,1,0.000179254,0.000179254
15,CMOH_Alberta,spammer,-2.22E-05,1.15E-163,0,0,1,0.000179254,0.000179254
16,DrTomFrieden,other,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
17,katspjz,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
18,absolute_phil,other,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
19,sinfoid,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
20,picardonhealth,other,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
21,petemcmartin,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
22,VancouverSun,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
23,SteveWi60622710,other,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
24,shanny2137,self_declared,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
25,CBSNews,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
26,weplaywithtoys,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
27,gilsdesk,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
28,Corona_SSYT,private_account,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
29,ulfsark9,other,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
30,POTUS,other,-0.004862989,3.83E-05,0,0.024605815,2,0.00070101,0.00070101
31,YatesSaunders,,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
32,LuceroSerna4,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
33,TuckerCarlson,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
34,TPostMillennial,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
35,thisisourshotca,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
36,AnitaOakville,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
37,CarolynD72355,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
38,wadhawan2011,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
39,jdf1188,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
40,washingtonpost,self_declared,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
41,CardioFixer,spammer,-0.004862989,1.51E-96,0,0.001310998,2,0.000829301,0.000829301
42,life_scifi,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
43,johnhawkinsrwn,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
44,silo_hr,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
45,HerbsandDirt,spammer,-0.004862989,1.15E-163,0,0,1,0.000179254,0.000179254
46,literaryeric,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
47,brianstelter,spammer,0.004610129,1.15E-163,0,0,1,0.000179254,0.000179254
