,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,mass_equivalent,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk
0,978,newsmax,spammer,bot,2021-05-26,https://twitter.com/newsmax/status/1397597747906293766,34672,-1.6796712722921825e-05,0.00367766054596271,0.005252272587320226,2,0.005252272587320226,0.005061248309420213,0.054299208548911286,3.387091878338741e-12,6.509881150950856e-13,1.6896604468707918e-16,1.1897609063764744e-16,0.07140510974965368,0.054299208548911286
1,434,JonPort79449036,false (human account),human,2021-10-09,https://twitter.com/JonPort79449036/status/1446680933797670917,15721,-1.6796712722921825e-05,0.06918439283471595,0.03067223143549377,2,0.03067223143549377,0.039251881975857425,0.0466317709666947,1.5357773252008349e-12,2.951714397037909e-13,7.661269002438774e-17,5.3946213685811465e-17,0.07817876878462084,0.0466317709666947
2,308,nickisnest,false (human account),human,2021-08-13,https://twitter.com/nickisnest/status/1426063842770051073,2881,-0.004862988590572215,0.0427891448130688,0.032280189154009334,2,0.032280189154009334,0.04139605468431801,0.04917662942516233,2.8144357699278705e-13,5.4092546134891014e-14,1.4039893134041156e-17,9.886078597342589e-18,0.07806858024510763,0.04917662942516233
3,591,CobyJay41,false (human account),human,2021-08-11,https://twitter.com/CobyJay41/status/1425564049320861696,2473,0.0,0.03312252171192851,0.028923597323644887,2,0.028923597323644887,0.03947098126719887,0.03417891687736476,2.4158624293757806e-13,4.6432095311206346e-14,1.205159865341332e-17,8.486036921634231e-18,0.07603247451462439,0.03417891687736476
4,155,bev768,false (human account),human,2021-10-07,https://twitter.com/bev768/status/1446201715112361998,2285,0.0,0.7014639104731937,0.06785804530947745,2,0.06785804530947745,0.10143028840003467,0.05637705876359023,2.2322060861802095e-13,4.290227973558693e-14,1.1135423745673044e-17,7.84091967890587e-18,0.11133599534453037,0.05637705876359023
5,6,danny086756661,spammer,bot,2021-08-11,https://twitter.com/danny086756661/status/1425554263107727360,2281,-0.004862988590573991,2.630277233391333e-117,0.0,2,0.0,0.0,0.0011950286806883367,2.2282985044100913e-13,4.2827177276531204e-14,1.1115930662529636e-17,7.827193780124415e-18,0.0007283321194464676,0.0011950286806883367
6,1155,robert_traurig,spammer,bot,2021-05-26,https://twitter.com/robert_traurig/status/1397666281780883457,1516,-2.2177454400917895e-05,0.0003791974215153074,0.00020915659989935003,2,0.00020915659989935003,0.0002728815313800275,0.0018444443091343264,1.4809734908749226e-13,2.846383198212245e-14,7.387878511352446e-18,5.2021156381712474e-18,0.03697117357596282,0.0018444443091343264
7,791,Simone_Voice,spammer,bot,2021-07-19,https://twitter.com/Simone_Voice/status/1417052837515874304,715,-1.8814378760723116e-05,2.606824510543313e-96,3.1851258867921324e-06,2,3.1851258867921324e-06,3.6350145510126054e-06,0.0022922106430210767,6.98480241408687e-14,1.3424564556212103e-14,3.484388611884563e-18,2.4535044071849873e-18,0.0021849963583394027,0.0022922106430210767
8,1347,VanderluciaSch1,other,bot,2021-08-30,https://twitter.com/VanderluciaSch1/status/1432413228248748040,710,-4.209201580707145e-05,1.6133135587659905e-65,5.839397459118909e-05,2,5.839397459118909e-05,5.6202054450766116e-05,0.00668093849235204,6.935957641960388e-14,1.3330686482392438e-14,3.4600222579553005e-18,2.4363470337081694e-18,0.008011653313911144,0.00668093849235204
9,100,Daniel2510G,spammer,bot,2021-09-08,https://twitter.com/Daniel2510G/status/1435654826260635659,630,-3.447739452155929e-06,4.044500272634867e-39,0.0005796929113961681,2,0.0005796929113961681,0.0005970715679651526,0.016343041435892092,6.154441287936683e-14,1.1828637301277798e-14,3.0701605950870976e-18,2.16182905807908e-18,0.019580277443723638,0.016343041435892092
