,id,username,bot_type,user_type,origin_tweet_date,degree,tweet_url
0,978,newsmax,spammer,bot,2021-05-26,34672,https://twitter.com/newsmax/status/1397597747906293766
1,434,JonPort79449036,false (human account),human,2021-10-09,15721,https://twitter.com/JonPort79449036/status/1446680933797670917
2,308,nickisnest,false (human account),human,2021-08-13,2881,https://twitter.com/nickisnest/status/1426063842770051073
3,591,CobyJay41,false (human account),human,2021-08-11,2473,https://twitter.com/CobyJay41/status/1425564049320861696
4,155,bev768,false (human account),human,2021-10-07,2285,https://twitter.com/bev768/status/1446201715112361998
5,6,danny086756661,spammer,bot,2021-08-11,2281,https://twitter.com/danny086756661/status/1425554263107727360
6,1155,robert_traurig,spammer,bot,2021-05-26,1516,https://twitter.com/robert_traurig/status/1397666281780883457
7,791,Simone_Voice,spammer,bot,2021-07-19,715,https://twitter.com/Simone_Voice/status/1417052837515874304
8,1347,VanderluciaSch1,other,bot,2021-08-30,710,https://twitter.com/VanderluciaSch1/status/1432413228248748040
9,100,Daniel2510G,spammer,bot,2021-09-08,630,https://twitter.com/Daniel2510G/status/1435654826260635659
10,928,ella03787321,false (human account),human,2021-07-18,609,https://twitter.com/ella03787321/status/1416762143106555918
11,759,SpiritYah,false (human account),human,2021-07-20,508,https://twitter.com/SpiritYah/status/1417635090436349953
12,906,Learningpods1,false (human account),human,2021-05-26,446,https://twitter.com/Learningpods1/status/1397405645264011266
13,1330,BrandonLesco1,false (human account),human,2021-11-09,439,https://twitter.com/BrandonLesco1/status/1458058598458789895
14,701,kawarren818,false (human account),human,2021-08-09,427,https://twitter.com/kawarren818/status/1424776418894958593
15,766,haber_okuyorum1,false (human account),human,2021-07-20,416,https://twitter.com/haber_okuyorum1/status/1417614464107651081
16,1166,santa_tzu,spammer,bot,2021-05-26,388,https://twitter.com/santa_tzu/status/1397559140839563270
17,1160,Yaocyou,spammer,bot,2021-05-26,386,https://twitter.com/Yaocyou/status/1397539621450354689
18,1159,JaneDoe89034155,spammer,bot,2021-05-26,384,https://twitter.com/JaneDoe89034155/status/1397647782450761732
19,129,CobyJayJr42,false (human account),human,2021-10-05,383,https://twitter.com/CobyJayJr42/status/1445535381831577609
20,1154,mimosa_9th_,spammer,bot,2021-05-26,374,https://twitter.com/mimosa_9th_/status/1397592274276552707
21,778,DutchDL,false (human account),human,2021-07-21,370,https://twitter.com/DutchDL/status/1417771031964626944
22,869,107devorah,false (human account),human,2021-07-17,345,https://twitter.com/107devorah/status/1416518060345892871
23,804,fuzzyface,false (human account),human,2021-07-19,330,https://twitter.com/fuzzyface/status/1417051749077053441
24,943,LoveTahoe1,false (human account),human,2021-07-27,309,https://twitter.com/LoveTahoe1/status/1419831129612251138
25,753,deltazebedee1,false (human account),human,2021-07-21,306,https://twitter.com/deltazebedee1/status/1417673313493659651
26,970,DDonP3,private_account,bot,2021-07-24,304,https://twitter.com/DDonP3/status/1419030011734937600
27,940,takapirulainen,spammer,bot,2021-07-18,297,https://twitter.com/takapirulainen/status/1416800776492625924
28,742,sfbtears,spammer,bot,2021-10-16,265,https://twitter.com/sfbtears/status/1449453138558308354
29,974,NoSurrender200,other,bot,2021-07-24,249,https://twitter.com/NoSurrender200/status/1418988876908089353
30,967,texaspatriette,false (human account),human,2021-07-24,210,https://twitter.com/texaspatriette/status/1418976540927401987
31,819,ninskiberry,false (human account),human,2021-07-19,196,https://twitter.com/ninskiberry/status/1417226279192043523
32,836,moonbeam696,false (human account),human,2021-07-21,195,https://twitter.com/moonbeam696/status/1417958298121297921
33,834,AndersonPolaris,false (human account),human,2021-07-21,191,https://twitter.com/AndersonPolaris/status/1417902892896325632
34,938,Rac_helz,false (human account),human,2021-07-18,189,https://twitter.com/Rac_helz/status/1416800457029267461
35,1310,CobyJayJr43,spammer,bot,2021-11-16,186,https://twitter.com/CobyJayJr43/status/1460638108668633088
36,936,Max65752957,false (human account),human,2021-07-18,185,https://twitter.com/Max65752957/status/1416693190455922693
37,712,babibelle33,false (human account),human,2021-08-25,180,https://twitter.com/babibelle33/status/1430586492376784907
38,924,Caring_Canuck,false (human account),human,2021-07-18,161,https://twitter.com/Caring_Canuck/status/1416661371345846272
39,782,PantsClock,false (human account),human,2021-07-19,153,https://twitter.com/PantsClock/status/1417058833537585156
40,581,VanderleydeSo14,private_account,bot,2021-08-30,150,https://twitter.com/VanderleydeSo14/status/1432415992286744583
41,963,tvegaw,false (human account),human,2021-07-23,150,https://twitter.com/tvegaw/status/1418656330311774211
42,816,justletmebeme1,false (human account),human,2021-07-18,149,https://twitter.com/justletmebeme1/status/1416908310368985091
43,849,DixieGenX,false (human account),human,2021-05-24,136,https://twitter.com/DixieGenX/status/1396717985746804737
44,574,sir_lars,false (human account),human,2021-10-07,133,https://twitter.com/sir_lars/status/1446059885548953601
45,831,elofan1276,false (human account),human,2021-07-22,133,https://twitter.com/elofan1276/status/1418333361601458177
46,749,Jaye1222,false (human account),human,2021-07-21,125,https://twitter.com/Jaye1222/status/1417673584588333056
47,689,1SweetSoldier,false (human account),human,2021-08-15,124,https://twitter.com/1SweetSoldier/status/1426969431809437696
48,891,laureenrobinso1,false (human account),human,2021-05-23,110,https://twitter.com/laureenrobinso1/status/1396312428426764288
49,827,JackJackedMe,other,bot,2021-07-23,99,https://twitter.com/JackJackedMe/status/1418443715459354627
50,838,BaringMyClaws,false (human account),human,2021-07-21,99,https://twitter.com/BaringMyClaws/status/1417987339545026561
51,825,KyleJayBonnell,false (human account),human,2021-07-22,95,https://twitter.com/KyleJayBonnell/status/1418308262194147342
52,747,j_windsong,spammer,bot,2021-10-17,92,https://twitter.com/j_windsong/status/1449845992430444551
53,935,Vicmot,false (human account),human,2021-07-18,91,https://twitter.com/Vicmot/status/1416714128387887106
54,839,momJenRodriguez,other,bot,2021-05-25,90,https://twitter.com/momJenRodriguez/status/1397253171534311424
55,927,mattlargey,false (human account),human,2021-07-18,83,https://twitter.com/mattlargey/status/1416860939178151938
56,926,Andreopeeneilan,false (human account),human,2021-07-18,82,https://twitter.com/Andreopeeneilan/status/1416876962707124224
57,723,globalism_no,spammer,bot,2021-08-27,80,https://twitter.com/globalism_no/status/1431396057339080708
58,909,val_ic,false (human account),human,2021-07-18,79,https://twitter.com/val_ic/status/1416624031562977281
59,814,mynameisnotkim1,private_account,bot,2021-07-19,78,https://twitter.com/mynameisnotkim1/status/1416932498295119882
60,738,Voyeur80370397,false (human account),human,2021-10-17,72,https://twitter.com/Voyeur80370397/status/1449663889180921857
61,959,Sayyestolifeno1,false (human account),human,2021-08-05,69,https://twitter.com/Sayyestolifeno1/status/1423343791214366722
62,0,Left_of_You,spammer,bot,2021-05-17,66,https://twitter.com/Left_of_You/status/1394373947454590987
63,734,RockinTrump,self_declared,bot,2021-08-21,64,https://twitter.com/RockinTrump/status/1428912360027304002
64,961,zoogirl121,false (human account),human,2021-07-26,57,https://twitter.com/zoogirl121/status/1419721964512432142
65,775,maatuska_t,false (human account),human,2021-07-20,55,https://twitter.com/maatuska_t/status/1417553542953504769
66,830,YatesSaunders,false (human account),human,2021-07-22,49,https://twitter.com/YatesSaunders/status/1418079965564727303
67,903,bilks,false (human account),human,2021-05-26,48,https://twitter.com/bilks/status/1397464616620462080
68,824,QWarrior18,false (human account),human,2021-07-19,46,https://twitter.com/QWarrior18/status/1417058833537585156
69,823,MSkuggsida,false (human account),human,2021-07-19,45,https://twitter.com/MSkuggsida/status/1417084248457162754
70,822,loveiswhereits2,false (human account),human,2021-07-19,44,https://twitter.com/loveiswhereits2/status/1417197879261810689
71,818,BBCNews,spammer,bot,2021-07-19,42,https://twitter.com/BBCNews/status/1417247750224232452
72,698,BeverlyDHolmes,false (human account),human,2021-08-06,41,https://twitter.com/BeverlyDHolmes/status/1423510606116753414
73,912,pinopire43,false (human account),human,2021-05-18,38,https://twitter.com/pinopire43/status/1394776704745345027
74,919,AllieLucas1971,false (human account),human,2021-05-20,35,https://twitter.com/AllieLucas1971/status/1395476842639933441
75,910,AlfaBravo005,false (human account),human,2021-05-22,31,https://twitter.com/AlfaBravo005/status/1396144490721730564
76,731,raroberts2010,spammer,bot,2021-08-19,30,https://twitter.com/raroberts2010/status/1428256312534597636
77,1165,HetrickBarry,spammer,bot,2021-05-25,28,https://twitter.com/HetrickBarry/status/1397268840321540101
78,889,Laban471,false (human account),human,2021-05-26,27,https://twitter.com/Laban471/status/1397581628864700421
79,1342,NH_2_NC,false (human account),human,2021-11-05,27,https://twitter.com/NH_2_NC/status/1456415102576562178
80,1164,NYLockdown,spammer,bot,2021-05-25,26,https://twitter.com/NYLockdown/status/1397265703837782018
81,1163,l11432,spammer,bot,2021-05-25,24,https://twitter.com/l11432/status/1397259095946809356
82,1162,drmassee,spammer,bot,2021-05-25,22,https://twitter.com/drmassee/status/1397257157687406592
83,1161,EdwinRankin,spammer,bot,2021-05-25,20,https://twitter.com/EdwinRankin/status/1397252644125675520
84,977,EynoufElizabeth,spammer,bot,2021-05-25,18,https://twitter.com/EynoufElizabeth/status/1397251500850782215
85,918,IBelieveMothers,false (human account),human,2021-05-22,17,https://twitter.com/IBelieveMothers/status/1395908333610180610
86,1344,ussuricat1,false (human account),human,2021-09-02,13,https://twitter.com/ussuricat1/status/1433501851245236243
87,868,PatriotDany,false (human account),human,2021-05-26,12,https://twitter.com/PatriotDany/status/1397383435853967360
88,916,LoFaSho24,false (human account),human,2021-05-18,12,https://twitter.com/LoFaSho24/status/1394706370298064904
89,697,CBmdnc,false (human account),human,2021-08-07,11,https://twitter.com/CBmdnc/status/1423890900841795587
90,867,Sbartol3,false (human account),human,2021-05-26,11,https://twitter.com/Sbartol3/status/1397380162170277892
91,887,SmithMEGA007,false (human account),human,2021-07-15,10,https://twitter.com/SmithMEGA007/status/1415557971367456768
92,733,sgibbsters,false (human account),human,2021-08-16,9,https://twitter.com/sgibbsters/status/1427242982764331008
93,917,CrashingJustice,false (human account),human,2021-05-23,9,https://twitter.com/CrashingJustice/status/1396271085054697473
94,848,DonnaOw66990971,false (human account),human,2021-05-24,5,https://twitter.com/DonnaOw66990971/status/1396788766379896836
