,username,before_percolation,after_percolation,degree,change
247,newsmax,0.005252272587320226,0.005061248309420213,34672,decrease
189,JonPort79449036,0.03067223143549377,0.039251881975857425,15721,increase
725,nickisnest,0.032280189154009334,0.04139605468431801,2881,increase
913,CobyJay41,0.028923597323644887,0.03947098126719887,2473,increase
620,bev768,0.06785804530947745,0.10143028840003467,2285,increase
6,danny086756661,0.0,0.0,2281,no change
381,robert_traurig,0.00020915659989935003,0.0002728815313800275,1516,increase
290,Simone_Voice,3.1851258867921324e-06,3.6350145510126054e-06,715,increase
545,VanderluciaSch1,5.839397459118909e-05,5.6202054450766116e-05,710,decrease
67,Daniel2510G,0.0005796929113961681,0.0005970715679651526,630,increase
1161,ella03787321,6.370251773584265e-06,6.873041958790769e-06,609,increase
1028,SpiritYah,3.1851258867921324e-06,3.6350145510126054e-06,508,increase
1138,Learningpods1,7.431960402514976e-06,9.693759072126681e-06,446,increase
1351,BrandonLesco1,1.5925629433960662e-05,1.6197960693646126e-05,439,increase
984,kawarren818,3.822151064150559e-05,3.733107314451659e-05,427,decrease
1033,haber_okuyorum1,2.9727841610059904e-05,2.9331836455169486e-05,416,decrease
436,santa_tzu,0.0,0.0,388,no change
447,Yaocyou,0.0,0.0,386,no change
446,JaneDoe89034155,0.0,0.0,384,no change
85,CobyJayJr42,0.004863687229131586,0.0072186413068274944,383,increase
444,mimosa_9th_,0.0,0.0,374,no change
1044,DutchDL,1.0617086289307108e-06,1.344520995203876e-06,370,increase
1113,107devorah,0.0028687367153707806,0.0037006181296257816,345,increase
1065,fuzzyface,2.9727841610059904e-05,2.9331836455169486e-05,330,decrease
1176,LoveTahoe1,6.901106088049621e-05,7.069583850376965e-05,309,increase
1025,deltazebedee1,1.4863920805029952e-05,1.7462836678851774e-05,306,increase
347,DDonP3,7.431960402514976e-06,1.0201597767686788e-05,304,increase
339,takapirulainen,0.0,0.0,297,no change
276,sfbtears,0.0,0.0,265,no change
262,NoSurrender200,0.0,0.0,249,no change
1194,texaspatriette,0.0,0.0,210,no change
1077,ninskiberry,0.0,0.0,196,no change
1091,moonbeam696,0.0,0.0,195,no change
1089,AndersonPolaris,0.0,0.0,191,no change
1170,Rac_helz,0.0,0.0,189,no change
536,CobyJayJr43,0.0020544061969809254,0.002667815387747061,186,increase
1168,Max65752957,1.0617086289307108e-06,1.344520995203876e-06,185,increase
994,babibelle33,6.370251773584265e-06,6.873041958790769e-06,180,increase
1158,Caring_Canuck,0.0004130046566540465,0.000549583832863559,161,increase
1048,PantsClock,2.2295881207544928e-05,2.228799182981633e-05,153,decrease
1190,tvegaw,3.1851258867921324e-06,3.6350145510126054e-06,150,increase
232,VanderleydeSo14,0.0,0.0,150,no change
929,justletmebeme1,0.0008249476046791622,0.00107288042809492,149,increase
1097,DixieGenX,0.005285185554817078,0.00695357478997146,136,increase
895,sir_lars,2.2295881207544928e-05,2.228799182981633e-05,133,decrease
1087,elofan1276,1.0617086289307108e-06,1.344520995203876e-06,133,increase
1021,Jaye1222,3.1851258867921324e-06,4.193969690784462e-06,125,increase
972,1SweetSoldier,1.5925629433960662e-05,1.6197960693646126e-05,124,increase
1126,laureenrobinso1,0.003678820399244913,0.00471453374658104,110,increase
591,BaringMyClaws,0.0,0.0,99,no change
244,JackJackedMe,3.1851258867921324e-06,3.6350145510126054e-06,99,increase
1084,KyleJayBonnell,1.0617086289307108e-06,1.344520995203876e-06,95,increase
277,j_windsong,0.0,0.0,92,no change
1166,Vicmot,0.0,0.0,91,no change
304,momJenRodriguez,2.654271572326777e-05,3.082672296417628e-05,90,increase
934,mattlargey,0.0,0.0,83,no change
1159,Andreopeeneilan,0.0,0.0,82,no change
271,globalism_no,0.0,0.0,80,no change
1141,val_ic,0.0,0.0,79,no change
240,mynameisnotkim1,1.0617086289307108e-06,1.344520995203876e-06,78,increase
1013,Voyeur80370397,3.1851258867921324e-06,3.6350145510126054e-06,72,increase
1186,Sayyestolifeno1,0.0,0.0,69,no change
1,Left_of_You,0.00013377528724526955,0.00017267527732917968,66,increase
274,RockinTrump,1.0617086289307108e-06,1.344520995203876e-06,64,increase
1187,zoogirl121,1.167879491823782e-05,1.5766409124807574e-05,57,increase
1042,maatuska_t,1.0617086289307108e-06,1.344520995203876e-06,55,increase
31,YatesSaunders,0.0,0.0,49,no change
1136,bilks,0.0,0.0,48,no change
1082,QWarrior18,0.0,0.0,46,no change
1081,MSkuggsida,0.0,0.0,45,no change
1079,loveiswhereits2,0.0,0.0,44,no change
297,BBCNews,0.0,0.0,42,no change
492,BeverlyDHolmes,3.1851258867921324e-06,3.6350145510126054e-06,41,increase
1145,pinopire43,0.0,0.0,38,no change
1152,AllieLucas1971,1.0617086289307107e-05,1.1060167947596086e-05,35,increase
1143,AlfaBravo005,1.0617086289307108e-06,1.344520995203876e-06,31,increase
272,raroberts2010,0.0,0.0,30,no change
452,HetrickBarry,0.0,0.0,28,no change
1288,NH_2_NC,0.0,0.0,27,no change
1125,Laban471,0.0,0.0,27,no change
451,NYLockdown,0.0,0.0,26,no change
450,l11432,0.0,0.0,24,no change
449,drmassee,0.0,0.0,22,no change
448,EdwinRankin,0.0,0.0,20,no change
349,EynoufElizabeth,0.0,0.0,18,no change
1150,IBelieveMothers,0.0,0.0,17,no change
1358,ussuricat1,7.431960402514976e-06,9.693759072126681e-06,13,increase
1147,LoFaSho24,0.0,0.0,12,no change
1112,PatriotDany,0.0,0.0,12,no change
1110,Sbartol3,0.0,0.0,11,no change
979,CBmdnc,0.0,0.0,11,no change
1122,SmithMEGA007,1.0617086289307108e-06,1.344520995203876e-06,10,increase
1148,CrashingJustice,0.0,0.0,9,no change
1009,sgibbsters,0.0,0.0,9,no change
1096,DonnaOw66990971,0.0,0.0,5,no change
953,JoeSilverman7,0.0,0.0,0,no change
912,ClearwaterBK,0.0,0.0,0,no change
908,Covidpeganoar,0.0,0.0,0,no change
993,Revahb1,0.0,0.0,0,no change
909,MARIAEMI01,0.0,0.0,0,no change
992,rm03123,0.0,0.0,0,no change
910,estoque_pff,0.0,0.0,0,no change
991,FredGar48061675,0.0,0.0,0,no change
990,hawkesbg,0.0,0.0,0,no change
989,allahpundit,0.0,0.0,0,no change
988,lgadbery,0.0,0.0,0,no change
911,PFFparaTodos,0.0,0.0,0,no change
987,mathandbbqsauce,0.0,0.0,0,no change
986,MIVY_QUIN,0.0,0.0,0,no change
995,LaurenceFerrari,0.0,0.0,0,no change
985,Kingxerxi,0.0,0.0,0,no change
983,PhillyD,0.0,0.0,0,no change
982,GaryJac34303792,0.0,0.0,0,no change
981,DietrichVFA41,0.0,0.0,0,no change
914,HairylegsBiden,0.0,0.0,0,no change
980,SurprisedPossum,0.0,0.0,0,no change
978,OliviaLRaphael,0.0,0.0,0,no change
915,larrupin35,0.0,0.0,0,no change
977,Archer_14,0.0,0.0,0,no change
976,4TruthMack,0.0,0.0,0,no change
916,DrewHolden360,0.0,0.0,0,no change
907,MiguelNicolelis,0.0,0.0,0,no change
906,vitormori,0.0,0.0,0,no change
918,jeremykauffman,0.0,0.0,0,no change
905,monicabergamo,0.0,0.0,0,no change
893,tatebenson1,0.0,0.0,0,no change
894,DaveWarren1010,0.0,0.0,0,no change
1007,ChrisLamb33,0.0,0.0,0,no change
896,KompozytorZ,0.0,0.0,0,no change
1006,KatieM12121,0.0,0.0,0,no change
897,va_shiva,0.0,0.0,0,no change
1005,selfawaresnare,0.0,0.0,0,no change
898,SingSing_80,0.0,0.0,0,no change
1004,patrick_plante,0.0,0.0,0,no change
1003,BlueBear0386,0.0,0.0,0,no change
1002,TheGreySaint1,0.0,0.0,0,no change
899,AvengingAnnieRI,0.0,0.0,0,no change
1001,ksorbs,0.0,0.0,0,no change
1000,RepThomasMassie,0.0,0.0,0,no change
900,bigbrothergrav,0.0,0.0,0,no change
901,Shadow183860871,0.0,0.0,0,no change
902,oiIuiz,0.0,0.0,0,no change
999,SpecAlt,0.0,0.0,0,no change
998,SharylAttkisson,0.0,0.0,0,no change
903,leandroruschel,0.0,0.0,0,no change
997,lerougegorge,0.0,0.0,0,no change
996,AssoCovid,0.0,0.0,0,no change
904,sheilafpontes,0.0,0.0,0,no change
917,TheJasonRink,0.0,0.0,0,no change
919,Bobapool,0.0,0.0,0,no change
954,djwyze1,0.0,0.0,0,no change
961,PMama1987,0.0,0.0,0,no change
960,da57seeking,0.0,0.0,0,no change
936,Mousecat1980,0.0,0.0,0,no change
937,LaurenceRHunt,0.0,0.0,0,no change
938,nikoCSFB,0.0,0.0,0,no change
939,OANN,0.0,0.0,0,no change
940,R12Stl,0.0,0.0,0,no change
941,njphlaz,0.0,0.0,0,no change
942,VonWildebrand,0.0,0.0,0,no change
943,eva95316153,0.0,0.0,0,no change
944,Beachbard,0.0,0.0,0,no change
945,DrLiver,0.0,0.0,0,no change
