,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,normalized_page_rank,probability,mass_equivalent,normalized_velocity,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk,Phase Factor,,Transmission frequency,,,m,x,,y,tunneling
0,978,newsmax,spammer,bot,5/26/2021,https://twitter.com/newsmax/status/1397597747906293766,34672,-1.68E-05,0.003677661,0.005252273,2,0.005252273,0.005061248,0.054299209,4.646467274,0.127643545,3.39E-12,,6.51E-13,1.69E-16,1.19E-16,0.07140511,0.054299209,0.04,305.6688427,10.743209,,,7.04E-01,80,5.63E+01,56.37,28.18568047
1,434,JonPort79449036,false (human account),human,10/9/2021,https://twitter.com/JonPort79449036/status/1446680933797670917,15721,-1.68E-05,0.069184393,0.030672231,2,0.030672231,0.039251882,0.046631771,3.931382221,0.109619361,1.54E-12,,2.95E-13,7.66E-17,5.39E-17,0.078178769,0.046631771,0.05,305.6688427,15.939456,,,7.04E-01,80,5.63E+01,56.34,28.1712141
2,308,nickisnest,false (human account),human,8/13/2021,https://twitter.com/nickisnest/status/1426063842770051073,2881,-0.004862989,0.042789145,0.032280189,2,0.032280189,0.041396055,0.049176629,4.1687223,0.115601672,2.81E-13,,5.41E-14,1.40E-17,9.89E-18,0.07806858,0.049176629,0.12,305.6688427,37.314764,,,7.06E-01,80,5.65E+01,56.63,28.31714286
3,591,CobyJay41,false (human account),human,8/11/2021,https://twitter.com/CobyJay41/status/1425564049320861696,2473,0,0.033122522,0.028923597,2,0.028923597,0.039470981,0.034178917,2.769996851,0.080345888,2.42E-13,,4.64E-14,1.21E-17,8.49E-18,0.076032475,0.034178917,0.13,305.6688427,40.209269,,,7.02E-01,80,5.61E+01,56.26,28.1311157
4,155,bev768,false (human account),human,10/7/2021,https://twitter.com/bev768/status/1446201715112361998,2285,0,0.70146391,0.067858045,2,0.067858045,0.101430288,0.056377059,4.840252957,0.132528039,2.23E-13,,4.29E-14,1.11E-17,7.84E-18,0.111335995,0.056377059,0.14,305.6688427,41.88721,,,7.06E-01,80,5.65E+01,56.64,28.32225225
5,6,danny086756661,spammer,bot,8/11/2021,https://twitter.com/danny086756661/status/1425554263107727360,2281,-0.004862989,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,2.23E-13,,4.28E-14,1.11E-17,7.83E-18,0.000728332,0.001195029,0.14,305.6688427,41.88721,,,7.05E-01,80,5.64E+01,56.57,28.28621622
6,1155,robert_traurig,spammer,bot,5/26/2021,https://twitter.com/robert_traurig/status/1397666281780883457,1516,-2.22E-05,0.000379197,0.000209157,2,0.000209157,0.000272882,0.001844444,-0.245599661,0.004335817,1.48E-13,,2.85E-14,7.39E-18,5.20E-18,0.036971174,0.001844444,0.17,305.6688427,51.416559,,,7.04E-01,80,5.63E+01,56.46,28.23114344
7,791,Simone_Voice,spammer,bot,7/19/2021,https://twitter.com/Simone_Voice/status/1417052837515874304,715,-1.88E-05,2.61E-96,3.19E-06,2,3.19E-06,3.64E-06,0.002292211,-0.203839815,0.005388401,6.98E-14,,1.34E-14,3.48E-18,2.45E-18,0.002184996,0.002292211,0.24,305.6688427,74.86971,,,7.04E-01,80,5.63E+01,56.56,28.28091954
8,1347,VanderluciaSch1,other,bot,8/30/2021,https://twitter.com/VanderluciaSch1/status/1432413228248748040,710,-4.21E-05,1.61E-65,5.84E-05,2,5.84E-05,5.62E-05,0.006680938,0.205464291,0.015705177,6.94E-14,,1.33E-14,3.46E-18,2.44E-18,0.008011653,0.006680938,0.25,305.6688427,75.085163,,,7.05E-01,80,5.64E+01,56.67,28.33309249
9,100,Daniel2510G,spammer,bot,9/8/2021,https://twitter.com/Daniel2510G/status/1435654826260635659,630,-3.45E-06,4.04E-39,0.000579693,2,0.000579693,0.000597072,0.016343041,1.106576993,0.038418309,6.15E-14,,1.18E-14,3.07E-18,2.16E-18,0.019580277,0.016343041,0.26,305.6688427,79.76205,,,7.04E-01,80,5.63E+01,56.55,28.27332248
10,928,ella03787321,false (human account),human,7/18/2021,https://twitter.com/ella03787321/status/1416762143106555918,609,0,5.18E-90,6.37E-06,2,6.37E-06,6.87E-06,0.002840802,-0.152676802,0.006677998,5.95E-14,,1.14E-14,2.97E-18,2.09E-18,0.002913328,0.002840802,0.27,305.6688427,81.091509,,,7.04E-01,80,5.63E+01,56.57,28.28314815
11,759,SpiritYah,false (human account),human,7/20/2021,https://twitter.com/SpiritYah/status/1417635090436349953,508,0,2.61E-96,3.19E-06,2,3.19E-06,3.64E-06,0.002292211,-0.203839815,0.005388401,4.96E-14,,9.54E-15,2.48E-18,1.74E-18,0.002184996,0.002292211,0.29,305.6688427,88.816371,,,7.02E-01,80,5.61E+01,56.42,28.20951613
12,906,Learningpods1,false (human account),human,5/26/2021,https://twitter.com/Learningpods1/status/1397405645264011266,446,0,4.60E-90,7.43E-06,2,7.43E-06,9.69E-06,0.002059518,-0.225541378,0.004841399,4.36E-14,,8.37E-15,2.17E-18,1.53E-18,0.002601186,0.002059518,0.31,305.6688427,94.730672,,,7.05E-01,80,5.64E+01,56.72,28.35776498
13,1330,BrandonLesco1,false (human account),human,11/9/2021,https://twitter.com/BrandonLesco1/status/1458058598458789895,439,0,1.30E-80,1.59E-05,2,1.59E-05,1.62E-05,0.003937984,-0.050350775,0.009257192,4.29E-14,,8.24E-15,2.14E-18,1.51E-18,0.004369993,0.003937984,0.31,305.6688427,95.500406,,,7.06E-01,80,5.64E+01,56.76,28.37929907
14,701,kawarren818,false (human account),human,8/9/2021,https://twitter.com/kawarren818/status/1424776418894958593,427,0,1.20E-70,3.82E-05,2,3.82E-05,3.73E-05,0.005583757,0.103138264,0.013125983,4.17E-14,,8.02E-15,2.08E-18,1.47E-18,0.006554989,0.005583757,0.32,305.6688427,96.864766,,,7.07E-01,80,5.65E+01,56.86,28.42923077
15,766,haber_okuyorum1,false (human account),human,7/20/2021,https://twitter.com/haber_okuyorum1/status/1417614464107651081,416,0,1.34E-73,2.97E-05,2,2.97E-05,2.93E-05,0.005035166,0.051975251,0.011836386,4.06E-14,,7.81E-15,2.03E-18,1.43E-18,0.005826657,0.005035166,0.32,305.6688427,98.168204,,,7.04E-01,80,5.64E+01,56.67,28.3373399
16,1166,santa_tzu,spammer,bot,5/26/2021,https://twitter.com/santa_tzu/status/1397559140839563270,388,0.014491381,0.00037146,0,2,0,0,0.000651054,-0.356898341,0.001530461,3.79E-14,,7.28E-15,1.89E-18,1.33E-18,0.036235429,0.000651054,0.33,305.6688427,101.604808,,,7.04E-01,80,5.63E+01,56.63,28.31314815
17,1160,Yaocyou,spammer,bot,5/26/2021,https://twitter.com/Yaocyou/status/1397539621450354689,386,-0.004862989,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,3.77E-14,,7.25E-15,1.88E-18,1.32E-18,0.000728332,0.001195029,0.33,305.6688427,101.87396,,,7.02E-01,80,5.62E+01,56.50,28.25010638
18,1159,JaneDoe89034155,spammer,bot,5/26/2021,https://twitter.com/JaneDoe89034155/status/1397647782450761732,384,-0.004862989,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,3.75E-14,,7.21E-15,1.87E-18,1.32E-18,0,0.000179254,0.33,305.6688427,102.145263,,,7.06E-01,80,5.65E+01,56.80,28.40029412
19,129,CobyJayJr42,false (human account),human,10/5/2021,https://twitter.com/CobyJayJr42/status/1445535381831577609,383,-3.45E-06,0.000336663,0.004863687,2,0.004863687,0.007218641,0.00395664,-0.048610866,0.009301047,3.74E-14,,7.19E-15,1.87E-18,1.31E-18,0.050699916,0.00395664,0.33,305.6688427,102.281729,,,7.01E-01,80,5.60E+01,56.37,28.18639037
20,1154,mimosa_9th_,spammer,bot,5/26/2021,https://twitter.com/mimosa_9th_/status/1397592274276552707,374,-0.004862989,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,3.65E-14,,7.02E-15,1.82E-18,1.28E-18,0.000728332,0.001195029,0.34,305.6688427,103.535058,,,7.03E-01,80,5.63E+01,56.60,28.30186813
21,778,DutchDL,false (human account),human,7/21/2021,https://twitter.com/DutchDL/status/1417771031964626944,370,0,1.23E-104,1.06E-06,2,1.06E-06,1.34E-06,0.00174362,-0.255002829,0.004098804,3.61E-14,,6.95E-15,1.80E-18,1.27E-18,0.001456664,0.00174362,0.34,305.6688427,104.107079,,,7.06E-01,80,5.64E+01,56.78,28.39222222
22,869,107devorah,false (human account),human,7/17/2021,https://twitter.com/107devorah/status/1416518060345892871,345,0,0.007202267,0.002868737,2,0.002868737,0.003700618,0.004695508,0.020297936,0.011037938,3.37E-14,,6.48E-15,1.68E-18,1.18E-18,0.063556693,0.004695508,0.35,305.6688427,107.750405,,,7.02E-01,80,5.62E+01,56.54,28.2702381
23,804,fuzzyface,false (human account),human,7/19/2021,https://twitter.com/fuzzyface/status/1417051749077053441,330,0,1.34E-73,2.97E-05,2,2.97E-05,2.93E-05,0.005035166,0.051975251,0.011836386,3.22E-14,,6.20E-15,1.61E-18,1.13E-18,0.005826657,0.005035166,0.36,305.6688427,110.231553,,,7.02E-01,80,5.61E+01,56.51,28.25453416
24,943,LoveTahoe1,false (human account),human,7/27/2021,https://twitter.com/LoveTahoe1/status/1419831129612251138,309,0,2.79E-65,6.90E-05,2,6.90E-05,7.07E-05,0.006588867,0.19687748,0.015488741,3.02E-14,,5.80E-15,1.51E-18,1.06E-18,0.008067679,0.006588867,0.37,305.6688427,113.823095,,,7.02E-01,80,5.62E+01,56.53,28.2644702
